total_processed,input_rate,image_quality,file_size(kB),current_model,total_conf,avg_conf,current_boxes,energy_consumption(J),current_cpu,measure_duration(s),current_time,start_time,absolute_time
128,3.1751757043910915,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,8.860084,13.6,0.257204516,0.25700879096984863,215.70125246047974,179.5331313610077
129,2.9849248304312432,100,12960.137,yolov5x,5.4751788675785065,0.6083532075087229,9,9.559118,12.7,0.27742336300000003,0.277235746383667,216.3188352584839,181.23396754264832
130,3.217223147746517,100,11834.285,yolov5n,4.649477005004883,0.5166085561116537,9,8.802101,12.6,0.248413875,0.24822044372558594,216.77073454856873,182.79547119140625
131,3.2602151644297175,100,9659.386,yolov5n,0,0.5166085561116537,0,8.292338,12.5,0.23449473699999998,0.23430776596069336,216.65146946907043,184.11534881591797
132,3.33714562965804,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,8.357827,12.9,0.23605474799999998,0.23586440086364746,216.66997504234314,185.42900395393372
133,3.2067798876715337,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,8.669411,12.6,0.248053511,0.2478628158569336,217.10614037513733,186.75282549858093
134,3.242215315156672,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,8.606789,13.7,0.250317365,0.2501254081726074,217.70480966567993,188.24217224121094
135,3.1872781176096265,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,11.322847,12.4,0.230462171,0.23026299476623535,217.72108912467957,189.51484274864197
136,3.3134008107248523,100,9730.288,yolov5s,6.712863773107529,0.6102603430097754,11,10.863253,13.2,0.218372749,0.2181704044342041,218.05678009986877,190.70798897743225
137,3.093430070247528,100,11041.687,yolov5l,2.6971555650234222,0.4495259275039037,6,11.563508,12.6,0.24100147200000002,0.24080228805541992,218.54183220863342,192.07147812843323
138,3.07503383842349,100,9659.386,yolov5s,0.6547262668609619,0.32736313343048096,2,11.476899,12.7,0.22892865299999998,0.22871875762939453,218.76282167434692,193.29830503463745
139,3.113570466317401,100,9730.288,yolov5l,7.96371653676033,0.7239742306145754,11,11.431978,12.6,0.22959812599999999,0.2293989658355713,219.128680229187,194.511385679245
140,3.304673258388134,100,11834.285,yolov5m,5.67914953827858,0.7098936922848225,8,11.708344,13.2,0.236979362,0.2367391586303711,219.68636417388916,195.95348358154297
141,3.4182978371076356,100,9730.288,yolov5n,5.32105416059494,0.5912282400661044,9,10.849033,12.9,0.215872038,0.21569204330444336,219.9258143901825,197.18917441368103
142,3.480805225304446,100,11041.687,yolov5m,0.6807963848114014,0.3403981924057007,2,11.357026,12.9,0.230562483,0.23035478591918945,220.3969886302948,198.53888869285583
